log_id,bank_id,metric,year,issue,detail,severity
94,bangladesh_development_bank_plc_bdbl,roa_pct,,percent_stored_as_fraction,"Bangladesh Development Bank PLC (BDBL) stores 'roa_pct' as a decimal fraction (e.g. 0.02342035263) although the Unit column says '%'. Evidence: rebuilt net_profit_after_tax/total_assets over 15 years: mean error 0.0% as a fraction vs 99.0% as percentage points. value_numeric keeps the source figure untouched; value_pct_points holds the same number x100 so it lines up with banks that publish percentage points. Use value_pct_points, or the v_bank_year view, for any cross-bank comparison.",critical
95,bangladesh_development_bank_plc_bdbl,roe_pct,,percent_stored_as_fraction,"Bangladesh Development Bank PLC (BDBL) stores 'roe_pct' as a decimal fraction (e.g. 0.04121555512) although the Unit column says '%'. Evidence: rebuilt net_profit_after_tax/shareholders_equity over 15 years: mean error 0.0% as a fraction vs 99.0% as percentage points. value_numeric keeps the source figure untouched; value_pct_points holds the same number x100 so it lines up with banks that publish percentage points. Use value_pct_points, or the v_bank_year view, for any cross-bank comparison.",critical
96,bangladesh_development_bank_plc_bdbl,npl_pct_gross,,percent_stored_as_fraction,"Bangladesh Development Bank PLC (BDBL) stores 'npl_pct_gross' as a decimal fraction (e.g. 0.3131) although the Unit column says '%'. Evidence: rebuilt npl_amount/loans_advances_gross over 15 years: mean error 8.0% as a fraction vs 98.9% as percentage points. value_numeric keeps the source figure untouched; value_pct_points holds the same number x100 so it lines up with banks that publish percentage points. Use value_pct_points, or the v_bank_year view, for any cross-bank comparison.",critical
97,bangladesh_development_bank_plc_bdbl,provision_coverage_pct,,percent_stored_as_fraction,"Bangladesh Development Bank PLC (BDBL) stores 'provision_coverage_pct' as a decimal fraction (e.g. 0.5436051198) although the Unit column says '%'. Evidence: inherited from this sheet's verified metrics ({'fraction': 5}). value_numeric keeps the source figure untouched; value_pct_points holds the same number x100 so it lines up with banks that publish percentage points. Use value_pct_points, or the v_bank_year view, for any cross-bank comparison.",critical
98,bangladesh_development_bank_plc_bdbl,loan_deposit_ratio_pct,,percent_stored_as_fraction,"Bangladesh Development Bank PLC (BDBL) stores 'loan_deposit_ratio_pct' as a decimal fraction (e.g. 3.044253227) although the Unit column says '%'. Evidence: rebuilt loans_advances_gross/total_deposits over 15 years: mean error 0.0% as a fraction vs 99.0% as percentage points. value_numeric keeps the source figure untouched; value_pct_points holds the same number x100 so it lines up with banks that publish percentage points. Use value_pct_points, or the v_bank_year view, for any cross-bank comparison.",critical
99,bangladesh_development_bank_plc_bdbl,car_pct,,percent_stored_as_fraction,"Bangladesh Development Bank PLC (BDBL) stores 'car_pct' as a decimal fraction (e.g. 0.2808) although the Unit column says '%'. Evidence: inherited from this sheet's verified metrics ({'fraction': 5}). value_numeric keeps the source figure untouched; value_pct_points holds the same number x100 so it lines up with banks that publish percentage points. Use value_pct_points, or the v_bank_year view, for any cross-bank comparison.",critical
100,bangladesh_development_bank_plc_bdbl,cost_income_pct,,percent_stored_as_fraction,"Bangladesh Development Bank PLC (BDBL) stores 'cost_income_pct' as a decimal fraction (e.g. 0.521161103) although the Unit column says '%'. Evidence: inherited from this sheet's verified metrics ({'fraction': 5}). value_numeric keeps the source figure untouched; value_pct_points holds the same number x100 so it lines up with banks that publish percentage points. Use value_pct_points, or the v_bank_year view, for any cross-bank comparison.",critical
101,bangladesh_development_bank_plc_bdbl,npl_to_assets_pct,,percent_stored_as_fraction,"Bangladesh Development Bank PLC (BDBL) stores 'npl_to_assets_pct' as a decimal fraction (e.g. 0.1127120369) although the Unit column says '%'. Evidence: rebuilt npl_amount/total_assets over 15 years: mean error 0.0% as a fraction vs 99.0% as percentage points. value_numeric keeps the source figure untouched; value_pct_points holds the same number x100 so it lines up with banks that publish percentage points. Use value_pct_points, or the v_bank_year view, for any cross-bank comparison.",critical
102,bangladesh_development_bank_plc_bdbl,yoy_npat_growth_pct,,percent_stored_as_fraction,"Bangladesh Development Bank PLC (BDBL) stores 'yoy_npat_growth_pct' as a decimal fraction (e.g. 0.06439100078) although the Unit column says '%'. Evidence: growth series peaks at 0.9124. value_numeric keeps the source figure untouched; value_pct_points holds the same number x100 so it lines up with banks that publish percentage points. Use value_pct_points, or the v_bank_year view, for any cross-bank comparison.",critical
103,bangladesh_development_bank_plc_bdbl,yoy_total_assets_growth_pct,,percent_stored_as_fraction,"Bangladesh Development Bank PLC (BDBL) stores 'yoy_total_assets_growth_pct' as a decimal fraction (e.g. 0.04829062314) although the Unit column says '%'. Evidence: growth series peaks at 0.4325. value_numeric keeps the source figure untouched; value_pct_points holds the same number x100 so it lines up with banks that publish percentage points. Use value_pct_points, or the v_bank_year view, for any cross-bank comparison.",critical
